Point (129.80165178199999332 32.77421796480000182),42201,柿泊町立公民館,長崎県長崎市柿泊町772番地1,32.77421796,129.8016518,0,0,0,0,0,1
Point (129.87493100000000368 32.73647499999999866),42201,学校法人海星高等学校,長崎県長崎市東山手町5番3号,32.736475,129.874931,0,0,0,0,0,1
Point (129.85798302899999612 32.78813897180000225),42201,学校法人南山小学校,長崎県長崎市音無町9番34号,32.78813897,129.857983,0,0,0,0,0,1
Point (129.88359700000000885 32.73711500000000285),42201,学校法人鳴滝学園長崎女子高等学校,長崎県長崎市上小島1丁目11番8号,32.737115,129.883597,0,0,0,0,0,1
Point (129.80927485300000512 32.64093374170000317),42201,岳路運動公園,長崎県長崎市蚊焼町3816番地,32.64093374,129.8092749,0,0,0,0,0,1
Point (129.80345851300000959 32.6394619560999999),42201,岳路自治公民館,長崎県長崎市蚊焼町4982番地3,32.63946196,129.8034585,0,0,0,0,0,1
Point (129.82580714700000613 32.80546070729999997),42201,滑石４丁目西部自治会公民館,長崎県長崎市滑石4丁目24番5号,32.80546071,129.8258071,0,0,0,0,0,1
Point (129.8458530000000053 32.80771500000000174),42201,滑石公民館,長崎県長崎市滑石2丁目1番47号,32.807715,129.845853,0,0,0,0,0,1
Point (129.83400900000000888 32.80647900000000305),42201,滑石地区ふれあいセンター,長崎県長崎市滑石5丁目5番77号,32.806479,129.834009,0,0,0,0,0,1
Point (129.83486634999999865 32.80430633000000284),42201,滑石中央公園,長崎県長崎市滑石6丁目1916番地25,32.80430633,129.8348664,0,0,0,0,0,1
Point (129.83756558199999631 32.80780287849999866),42201,滑石平宗公園,長崎県長崎市滑石2丁目89番地9,32.80780288,129.8375656,0,0,0,0,0,1
Point (129.78644099999999639 32.56296100000000138),42201,樺島保育所,長崎県長崎市野母崎樺島町459番地2,32.562961,129.786441,0,0,0,0,0,1
Point (129.93343252200000393 32.80514494349999666),42201,間ノ瀬公民館,長崎県長崎市平間町2295番地,32.80514494,129.9334325,0,0,0,0,0,1
Point (129.87947672999999327 32.74096052000000157),42201,丸山公園,長崎県長崎市寄合町1番地2,32.74096052,129.8794767,0,0,0,0,0,1
Point (129.86249771000001374 32.74882136909999986),42201,丸尾公園,長崎県長崎市丸尾町23番地27,32.74882137,129.8624977,0,0,0,0,0,1
Point (129.85428217000000473 32.73885368909999727),42201,岩瀬道町公民館,長崎県長崎市岩瀬道町12番41号,32.73885369,129.8542822,0,0,0,0,0,1
Point (129.9576940000000036 32.7712094184999998),42201,橘地区ふれあいセンター,長崎県長崎市かき道2丁目45番20号,32.77120942,129.957694,0,0,0,0,0,1
Point (129.88276089999999385 32.75041152000000011),42201,宮の下公園,長崎県長崎市大井手町38番地,32.75041152,129.8827609,0,0,0,0,0,1
Point (129.90318839099998627 32.68215098390000151),42201,宮摺公民館,長崎県長崎市宮摺町963番地,32.68215098,129.9031884,0,0,0,0,0,1
Point (129.72867272700000285 32.89331986199999847),42201,旧扇山分校,長崎県長崎市神浦扇山町445番地1,32.89331986,129.7286727,0,0,0,0,0,1
Point (129.88074925000000803 32.74880908909999988),42201,魚の町公園,長崎県長崎市魚の町5番地2,32.74880909,129.8807493,0,0,0,0,0,1
Point (129.77321298000001093 32.82528757909999939),42201,京泊公園,長崎県長崎市京泊町1番地53,32.82528758,129.773213,0,0,0,0,0,1
Point (129.77119171000001074 32.8259178977000019),42201,京泊公民館,長崎県長崎市京泊町1543番地4,32.8259179,129.7711917,0,0,0,0,0,1
Point (129.95066748799999345 32.77847371080000016),42201,教宗寺,長崎県長崎市矢上町469番地,32.77847371,129.9506675,0,0,0,0,0,1
Point (129.85146495600000094 32.71048198910000337),42201,極楽寺,長崎県長崎市小ヶ倉町1丁目170番地,32.71048199,129.851465,0,0,0,0,0,1
Point (129.9089003670000011 32.70324999380000008),42201,玉台寺,長崎県長崎市茂木町1241番地,32.70324999,129.9089004,0,0,0,0,0,1
Point (129.88923600000001102 32.74122500000000002),42201,玉木女子短期大学ますみ記念館２Ｆアリーナ,長崎県長崎市愛宕1丁目37番1号,32.741225,129.889236,0,0,0,0,0,1
Point (129.79193489799999384 32.86894481510000077),42201,琴海ニュータウン公民館,長崎県長崎市西海町1765番地162,32.86894482,129.7919349,0,0,0,0,0,1
Point (129.78485965199999441 32.92794066969999989),42201,琴海活性化センター（四季彩館）,長崎県長崎市長浦町50番地5,32.92794067,129.7848597,0,0,0,0,0,1
Point (129.78663804999999343 32.90259381909999803),42201,琴海中央公園,長崎県長崎市琴海戸根原町1410番地2,32.90259382,129.7866381,0,0,0,0,0,1
Point (129.78467894499999602 32.90550835060000168),42201,琴海中部運動公園運動場,長崎県長崎市琴海長浦町3774番地1,32.90550835,129.7846789,0,0,0,0,0,1
Point (129.78749711599999728 32.86571914019999952),42201,琴海南部運動公園運動場,長崎県長崎市琴海村松町703番地4,32.86571914,129.7874971,0,0,0,0,0,1
Point (129.80037084599999275 32.95395910770000114),42201,琴海北部運動公園運動場,長崎県長崎市琴海大平町638番地11,32.95395911,129.8003708,0,0,0,0,0,1
Point (129.8018414949999908 32.95462743670000094),42201,琴海北部研修センター,長崎県長崎市琴海大平町638番地12,32.95462744,129.8018415,0,0,0,0,0,1
Point (129.92265942000000223 32.8120159698000009),42201,畦別当町立公民館,長崎県長崎市畦別当町300番地,32.81201597,129.9226594,0,0,0,0,0,1
Point (129.90261767900000223 32.80744822580000175),42201,犬継公民館,長崎県長崎市三ツ山町782番地1,32.80744823,129.9026177,0,0,0,0,0,1
Point (129.94768846400000939 32.76620003819999738),42201,県警機動隊,長崎県長崎市田中町385番地3,32.76620004,129.9476885,0,0,0,0,0,1
Point (129.87737500000000068 32.76027899999999704),42201,県立長崎東高等学校,長崎県長崎市立山5丁目13番1号,32.760279,129.877375,0,0,0,0,0,1
Point (129.83083078000001365 32.65176113910000311),42201,元宮公園運動場,長崎県長崎市布巻町985番地1,32.65176114,129.8308308,0,0,0,0,0,1
Point (129.9605557900000008 32.80526917000000253),42201,古賀団地北公園,長崎県長崎市古賀町1210番地5,32.80526917,129.9605558,0,0,0,0,0,1
Point (129.96141531099999611 32.79977655860000141),42201,古賀地区事務所,長崎県長崎市古賀町860番地,32.79977656,129.9614153,0,0,0,0,0,1
Point (129.98013563800000725 32.76624800350000299),42201,戸石地区公民館,長崎県長崎市戸石町1740番地1,32.766248,129.9801356,0,0,0,0,0,1
Point (129.86287175999999022 32.72221323889999667),42201,戸町地区ふれあいセンター,長崎県長崎市戸町2丁目4番39号,32.72221324,129.8628718,0,0,0,0,0,1
Point (129.87257347799999252 32.75740595239999919),42201,御船蔵町上自治会公民館,長崎県長崎市御船蔵町13番45号,32.75740595,129.8725735,0,0,0,0,0,1
Point (129.880127090000002 32.7492140391000035),42201,公会堂前公園,長崎県長崎市魚の町4番地100,32.74921404,129.8801271,0,0,0,0,0,1
Point (129.83680472500000747 32.68682050540000006),42201,江川地区自治会公民館,長崎県長崎市末石町430番地,32.68682051,129.8368047,0,0,0,0,0,1
Point (129.87166102899999487 32.77298652120000355),42201,江平公民館,長崎県長崎市江平1丁目8番4号,32.77298652,129.871661,0,0,0,0,0,1
Point (129.8094780000000128 32.68756099910000046),42201,香焼ひまわり,長崎県長崎市香焼町1070番地4,32.687561,129.809478,0,0,0,0,0,1
Point (129.81380899999999201 32.68937600000000288),42201,香焼公民館,長崎県長崎市香焼町501番地2,32.689376,129.813809,0,0,0,0,0,1
Point (129.79953989000000547 32.69049471910000193),42201,香焼総合公園運動場,長崎県長崎市香焼町2582番地,32.69049472,129.7995399,0,0,0,0,0,1
Point (129.80811995999999908 32.68698856910000217),42201,香焼第１児童公園,長崎県長崎市香焼町1060番地,32.68698857,129.80812,0,0,0,0,0,1
Point (129.81407004999999799 32.69258994909999672),42201,香焼第２児童公園,長崎県長崎市香焼町444番地1,32.69258995,129.8140701,0,0,0,0,0,1
Point (129.80171922900001391 32.68653674250000307),42201,香焼第３児童公園,長崎県長崎市香焼町1975番地,32.68653674,129.8017192,0,0,0,0,0,1
Point (129.81281490000000645 32.69169411000000025),42201,香焼第４児童公園,長崎県長崎市香焼町477番地1,32.69169411,129.8128149,0,0,0,0,0,1
Point (129.81733964000000014 32.69834763909999964),42201,香焼第５児童公園,長崎県長崎市香焼町132番地14,32.69834764,129.8173396,0,0,0,0,0,1
Point (129.81083660999999552 32.68975873640000174),42201,香焼第６児童公園,長崎県長崎市香焼町1613番地,32.68975874,129.8108366,0,0,0,0,0,1
Point (129.79031580200000917 32.6088177545000022),42201,高浜運動公園,長崎県長崎市高浜町2509番地,32.60881775,129.7903158,0,0,0,0,0,1
Point (129.78318590899999663 32.60339649680000207),42201,高浜海水浴場駐車場,長崎県長崎市高浜町,32.6033965,129.7831859,0,0,0,0,0,1
Point (129.7852410000000134 32.60561500000000024),42201,高浜地区公民館,長崎県長崎市高浜町3203番地73,32.605615,129.785241,0,0,0,0,0,1
